THE DRAW TABLE. mirror board (equal decks, level 2), both careful (8), dawn duel, 896 boards a seat, seed offset 0. draws count half.
  night  form       you-lead  she-leads   seat    level%   level->you  level->sky  draws
  m22  defender     50.3      47.3     3.0     8.8        77          80    0
  m22  leader       59.3      38.7    20.5     8.8        80          77    0
  m22  moon         54.5      44.2    10.3     8.8        86          71    0
  m22  house        52.0      44.6     7.4     8.8        68          89    0
  m22  nobody       54.8      43.0    11.8     8.8         0           0    157
  m23  defender     50.2      50.9    -0.7     7.9        81          61    0
  m23  leader       57.0      41.9    15.2     7.9        61          81    0
  m23  moon         53.0      48.3     4.7     7.9        83          59    0
  m23  house        51.0      49.3     1.7     7.9        74          68    0
  m23  nobody       53.6      46.4     7.3     7.9         0           0    142
  m24  defender     53.3      44.9     8.5     8.4        78          73    0
  m24  leader       61.5      36.2    25.3     8.4        73          78    0
  m24  moon         57.7      39.7    18.0     8.4        71          80    0
  m24  house        55.5      42.6    12.8     8.4        77          74    0
  m24  nobody       57.4      40.5    16.9     8.4         0           0    151
  m25  defender     57.3      49.6     7.7     8.9        88          72    0
  m25  leader       65.3      39.7    25.6     8.9        72          88    0
  m25  moon         61.5      44.2    17.3     8.9        78          82    0
  m25  house        58.8      47.3    11.5     8.9        82          78    0
  m25  nobody       61.3      44.6    16.6     8.9         0           0    160
  m26  defender     52.5      49.6     2.9     7.8        71          69    0
  m26  leader       60.2      41.6    18.5     7.8        69          71    0
  m26  moon         55.5      46.5     8.9     7.8        71          69    0
  m26  house        53.8      48.7     5.1     7.8        75          65    0
  m26  nobody       56.3      45.6    10.7     7.8         0           0    140
  m27  defender     57.1      42.4    14.7     8.8        75          82    0
  m27  leader       66.3      34.0    32.3     8.8        82          75    0
  m27  moon         63.1      38.3    24.8     8.8        91          66    0
  m27  house        58.4      41.2    17.2     8.8        75          82    0
  m27  nobody       61.7      38.2    23.5     8.8         0           0    157
  m28  defender     48.9      48.8     0.1     8.9        75          85    0
  m28  leader       58.4      40.4    18.0     8.9        85          75    0
  m28  moon         51.7      45.2     6.5     8.9        68          92    0
  m28  house        50.0      46.2     3.8     8.9        62          98    0
  m28  nobody       53.6      44.6     9.0     8.9         0           0    160
