THE DRAW TABLE. mirror board (equal decks, level 2), both careful (8), dawn duel, 896 boards a seat, seed offset 1000. draws count half.
  night  form       you-lead  she-leads   seat    level%   level->you  level->sky  draws
  m8   defender     46.1      49.2    -3.1     8.5        78          74    0
  m8   leader       54.4      40.5    13.8     8.5        74          78    0
  m8   moon         48.9      46.1     2.8     8.5        75          77    0
  m8   house        47.0      47.7    -0.7     8.5        72          80    0
  m8   nobody       50.2      44.9     5.4     8.5         0           0    152
  m9   defender     50.2      49.4     0.8     8.6        86          68    0
  m9   leader       57.8      39.8    18.0     8.6        68          86    0
  m9   moon         55.6      43.5    12.1     8.6        81          73    0
  m9   house        51.2      47.7     3.6     8.6        79          75    0
  m9   nobody       54.0      44.6     9.4     8.6         0           0    154
  m10  defender     54.7      44.2    10.5     8.5        77          76    0
  m10  leader       63.2      35.6    27.6     8.5        76          77    0
  m10  moon         57.7      40.7    17.0     8.5        73          80    0
  m10  house        56.1      43.0    13.2     8.5        79          74    0
  m10  nobody       58.9      39.9    19.0     8.5         0           0    153
  m11  defender     50.2      52.3    -2.1     9.9        82          95    0
  m11  leader       60.8      43.2    17.6     9.9        95          82    0
  m11  moon         56.5      47.0     9.5     9.9        90          87    0
  m11  house        51.7      51.2     0.4     9.9        85          92    0
  m11  nobody       55.5      47.8     7.8     9.9         0           0    177
  m12  defender     54.4      48.8     5.6     8.4        84          67    0
  m12  leader       61.8      39.4    22.4     8.4        67          84    0
  m12  moon         57.7      46.5    11.2     8.4        94          57    0
  m12  house        55.4      47.8     7.6     8.4        84          67    0
  m12  nobody       58.1      44.1    14.0     8.4         0           0    151
  m13  defender     51.2      46.3     4.9     9.0        72          90    0
  m13  leader       61.3      38.3    23.0     9.0        90          72    0
  m13  moon         56.7      42.1    14.6     9.0        83          79    0
  m13  house        52.6      45.1     7.5     9.0        73          89    0
  m13  nobody       56.3      42.3    14.0     9.0         0           0    162
  m14  defender     51.1      44.1     7.0     8.5        71          82    0
  m14  leader       60.3      36.2    24.1     8.5        82          71    0
  m14  moon         56.0      38.5    17.5     8.5        65          88    0
  m14  house        52.6      42.3    10.3     8.5        68          85    0
  m14  nobody       55.7      40.1    15.6     8.5         0           0    153
