THE DRAW TABLE. mirror board (equal decks, fresh), both careful (8), dawn duel, 896 boards a seat, seed offset 0. draws count half.
  night  form       you-lead  she-leads   seat    level%   level->you  level->sky  draws
  m22  defender     49.8      45.9     3.9    10.6        94          96    0
  m22  leader       60.5      35.4    25.1    10.6        96          94    0
  m22  moon         53.2      40.3    12.9    10.6        75         115    0
  m22  house        51.7      44.4     7.3    10.6        98          92    0
  m22  nobody       55.1      40.6    14.5    10.6         0           0    190
  m23  defender     48.2      54.7    -6.5     8.9        80          79    0
  m23  leader       57.0      45.8    11.3     8.9        79          80    0
  m23  moon         50.9      52.1    -1.2     8.9        81          78    0
  m23  house        49.6      53.7    -4.1     8.9        83          76    0
  m23  nobody       52.6      50.2     2.4     8.9         0           0    159
  m24  defender     48.1      49.9    -1.8    11.3       100         102    0
  m24  leader       59.5      38.7    20.8    11.3       102         100    0
  m24  moon         54.7      43.8    10.9    11.3       104          98    0
  m24  house        51.2      47.8     3.5    11.3       109          93    0
  m24  nobody       53.8      44.3     9.5    11.3         0           0    202
  m25  defender     55.5      48.1     7.4    11.7       104         106    0
  m25  leader       67.3      36.5    30.8    11.7       106         104    0
  m25  moon         62.8      40.4    22.4    11.7       101         109    0
  m25  house        57.3      46.7    10.6    11.7       107         103    0
  m25  nobody       61.4      42.3    19.1    11.7         0           0    210
  m26  defender     53.2      54.9    -1.7     9.7        89          84    0
  m26  leader       62.6      45.0    17.6     9.7        84          89    0
  m26  moon         56.0      51.1     4.9     9.7        80          93    0
  m26  house        53.9      52.7     1.2     9.7        75          98    0
  m26  nobody       57.9      49.9     8.0     9.7         0           0    173
  m27  defender     50.4      52.2    -1.8    10.5        96          93    0
  m27  leader       60.8      41.5    19.3    10.5        93          96    0
  m27  moon         57.9      44.4    13.5    10.5        93          96    0
  m27  house        52.1      51.0     1.1    10.5       100          89    0
  m27  nobody       55.6      46.9     8.8    10.5         0           0    189
  m28  defender     48.1      50.6    -2.5    12.4       107         115    0
  m28  leader       60.9      38.6    22.3    12.4       115         107    0
  m28  moon         53.1      45.9     7.3    12.4       110         112    0
  m28  house        50.1      48.8     1.3    12.4       109         113    0
  m28  nobody       54.5      44.6     9.9    12.4         0           0    222
