THE DRAW TABLE. mirror board (equal decks, fresh), both careful (8), dawn duel, 896 boards a seat, seed offset 1000. draws count half.
  night  form       you-lead  she-leads   seat    level%   level->you  level->sky  draws
  m8   defender     48.4      53.9    -5.5     9.6        95          77    0
  m8   leader       57.0      43.3    13.7     9.6        77          95    0
  m8   moon         51.5      49.7     1.8     9.6        84          88    0
  m8   house        49.6      52.6    -3.0     9.6        93          79    0
  m8   nobody       52.7      48.6     4.1     9.6         0           0    172
  m9   defender     44.9      52.3    -7.5    10.2        85          98    0
  m9   leader       55.8      42.9    12.9    10.2        98          85    0
  m9   moon         52.6      46.9     5.7    10.2       105          78    0
  m9   house        46.1      51.5    -5.4    10.2        88          95    0
  m9   nobody       50.3      47.6     2.7    10.2         0           0    183
  m10  defender     49.3      49.3     0.0     9.5        83          87    0
  m10  leader       59.0      40.1    19.0     9.5        87          83    0
  m10  moon         53.3      45.1     8.3     9.5        81          89    0
  m10  house        50.6      47.5     3.0     9.5        78          92    0
  m10  nobody       54.2      44.7     9.5     9.5         0           0    170
  m11  defender     50.8      55.8    -5.0    11.3       108          94    0
  m11  leader       61.3      43.8    17.5    11.3        94         108    0
  m11  moon         56.7      47.5     9.2    11.3        87         115    0
  m11  house        53.0      53.7    -0.7    11.3       109          93    0
  m11  nobody       56.0      49.8     6.3    11.3         0           0    202
  m12  defender     48.9      55.7    -6.8    10.4        99          88    0
  m12  leader       58.7      44.6    14.1    10.4        88          99    0
  m12  moon         50.9      53.5    -2.6    10.4        97          90    0
  m12  house        50.4      54.5    -4.0    10.4       102          85    0
  m12  nobody       53.8      50.2     3.6    10.4         0           0    187
  m13  defender     46.8      53.2    -6.5    10.3        95          90    0
  m13  leader       56.8      42.6    14.2    10.3        90          95    0
  m13  moon         53.0      47.3     5.7    10.3        98          87    0
  m13  house        49.2      52.3    -3.1    10.3       109          76    0
  m13  nobody       51.8      47.9     3.9    10.3         0           0    185
  m14  defender     47.4      48.0    -0.6     9.7        98          75    0
  m14  leader       55.8      37.1    18.8     9.7        75          98    0
  m14  moon         53.3      41.2    12.2     9.7        90          83    0
  m14  house        48.8      46.1     2.7     9.7        93          80    0
  m14  nobody       51.6      42.5     9.1     9.7         0           0    173
